Innings ID,Start Date,Day_Night,Team,Result,Home,Ground,Bat,Toss,Opposition,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,,,,,
13,18/02/1996,D,India,won,1,Barabati Stadium,2,won,Kenya,A Jadeja,S R Tendulkar,N S Sidhu,V G Kambli,N R Mongia,M Azharuddin,M M Prabhakar,J Srinath,A Kumble,B K V Prasad,S L V Raju,,,,,
21,21/02/1996,DN,India,won,1,Captain Roop Singh Stadium,2,lost,West Indies,A Jadeja,S R Tendulkar,N S Sidhu,M Azharuddin,V G Kambli,M M Prabhakar,N R Mongia,A R Kapoor,A Kumble,J Srinath,B K V Prasad,,,,,
42,27/02/1996,DN,India,lost,1,Wankhede Stadium,2,lost,Australia,A Jadeja,S R Tendulkar,V G Kambli,M Azharuddin,S V Manjrekar,M M Prabhakar,N R Mongia,A Kumble,J Srinath,B K V Prasad,S L V Raju,,,,,
52,2/3/1996,D,India,lost,1,Arun Jaitley Stadium,1,lost,Sri Lanka,M M Prabhakar,S R Tendulkar,S V Manjrekar,M Azharuddin,V G Kambli,A Jadeja,N R Mongia,J Srinath,A Kumble,S A Ankola,B K V Prasad,,,,,
61,6/3/1996,D,India,won,1,Green Park,1,lost,Zimbabwe,S R Tendulkar,N S Sidhu,S V Manjrekar,M Azharuddin,V G Kambli,A Jadeja,N R Mongia,A Kumble,J Srinath,B K V Prasad,S L V Raju,,,,,
67,9/3/1996,DN,India,won,1,M Chinnaswamy Stadium,1,won,Pakistan,N S Sidhu,S R Tendulkar,S V Manjrekar,M Azharuddin,V G Kambli,A Jadeja,N R Mongia,A Kumble,J Srinath,B K V Prasad,S L V Raju,,,,,
74,13/03/1996,DN,India,lost,1,Eden Gardens,2,won,Sri Lanka,S R Tendulkar,N S Sidhu,S V Manjrekar,M Azharuddin,V G Kambli,J Srinath,A Jadeja,N R Mongia,A R Kapoor,A Kumble,B K V Prasad,,,,,
