Innings ID,Start Date,Day_Night,Team,Result,Home,Ground,Bat,Toss,Opposition,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,,,,,
4,14/02/1996,D,England,lost,0,Sardar Patel Stadium,2,won,New Zealand,M A Atherton,A J Stewart,G A Hick,G P Thorpe,N H Fairbrother,R C Russell,C White,D G Cork,D Gough,P J Martin,R K Illingworth,,,,,
15,18/02/1996,D,England,won,0,Arbab Niaz Stadium,2,lost,United Arab Emirates,A J Stewart,N M K Smith,G P Thorpe,M A Atherton,N H Fairbrother,R C Russell,C White,D G Cork,P A J De Freitas,D Gough,R K Illingworth,,,,,
23,22/02/1996,D,England,won,0,Arbab Niaz Stadium,1,won,Netherlands,A J Stewart,N M K Smith,G A Hick,G P Thorpe,M A Atherton,N H Fairbrother,R C Russell,D G Cork,P A J De Freitas,D Gough,P J Martin,,,,,
32,25/02/1996,D,England,lost,0,Rawalpindi Cricket Stadium,2,lost,South Africa,M A Atherton,N M K Smith,G A Hick,G P Thorpe,A J Stewart,N H Fairbrother,R C Russell,D G Cork,P A J De Freitas,D Gough,P J Martin,,,,,
54,3/3/1996,D,England,lost,0,National Stadium (Karachi),1,won,Pakistan,R A Smith,M A Atherton,G A Hick,G P Thorpe,N H Fairbrother,R C Russell,D A Reeve,D G Cork,D Gough,P J Martin,R K Illingworth,,,,,
66,9/3/1996,D,England,lost,0,Iqbal Stadium,1,won,Sri Lanka,R A Smith,M A Atherton,G A Hick,G P Thorpe,P A J De Freitas,A J Stewart,R C Russell,D A Reeve,D Gough,P J Martin,R K Illingworth,,,,,
