Innings ID,Start Date,Day_Night,Team,Result,Home,Ground,Bat,Toss,Opposition,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,,,,,
14,18/02/1996,D,Kenya,lost,0,Barabati Stadium,1,lost,India,D N Chudasama,K O Otieno,S O Tikolo,M O Odumbe,H S Modi,T M Odoyo,E O Odumbe,A Y A Karim,L O Tikolo,M A Suji,R W Ali,,,,,
26,23/02/1996,D,Kenya,lost,0,Indira Priyadarshini Stadium,2,won,Australia,K O Otieno,D N Chudasama,S O Tikolo,M O Odumbe,H S Modi,E O Odumbe,L O Tikolo,T M Odoyo,M A Suji,A Y A Karim,R W Ali,,,,,
38,27/02/1996,D,Kenya,lost,0,Moin-ul-Haq Stadium,1,lost,Zimbabwe,D N Chudasama,T Iqbal,K O Otieno,S O Tikolo,M O Odumbe,H S Modi,E O Odumbe,T M Odoyo,A Y A Karim,M A Suji,R W Ali,,,,,
43,29/02/1996,D,Kenya,won,0,Nehru Stadium (Pune),1,lost,West Indies,D N Chudasama,T Iqbal,K O Otieno,S O Tikolo,M O Odumbe,H S Modi,M A Suji,T M Odoyo,E O Odumbe,A Y A Karim,R W Ali,,,,,
60,6/3/1996,D,Kenya,lost,0,Asgiriya Stadium,2,won,Sri Lanka,D N Chudasama,K O Otieno,S O Tikolo,M O Odumbe,H S Modi,L O Tikolo,E O Odumbe,L N Onyango,M A Suji,A Y A Karim,R W Ali,,,,,
