Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
lost,MDKJ Perera,MDKJ Perera1,TM Dilshan,TM Dilshan2,HDRL Thirimanne,HDRL Thirimanne3,WU Tharanga,WU Tharanga4,AD Mathews,AD Mathews5,LD Chandimal,LD Chandimal6,NLTC Perera,NLTC Perera7,TAM Siriwardana,TAM Siriwardana8,SS Pathirana,SS Pathirana9,SL Malinga,SL Malinga10,N Pradeep,N Pradeep11
lost,MDKJ Perera,MDKJ Perera1,TM Dilshan,TM Dilshan2,HDRL Thirimanne,HDRL Thirimanne3,AD Mathews,AD Mathews4,LD Chandimal,LD Chandimal5,SMA Priyanjan,SMA Priyanjan6,TAM Siriwardana,TAM Siriwardana7,SS Pathirana,SS Pathirana8,SL Malinga,SL Malinga9,RAS Lakmal,RAS Lakmal10,N Pradeep,N Pradeep11
won,MDKJ Perera,MDKJ Perera1,TM Dilshan,TM Dilshan2,HDRL Thirimanne,HDRL Thirimanne3,LD Chandimal,LD Chandimal4,AD Mathews,AD Mathews5,TAM Siriwardana,TAM Siriwardana6,NLTC Perera,NLTC Perera7,SMA Priyanjan,SMA Priyanjan8,SMSM Senanayake,SMSM Senanayake9,RAS Lakmal,RAS Lakmal10,PLS Gamage,PLS Gamage11
won,MDKJ Perera,MDKJ Perera1,TM Dilshan,TM Dilshan2,HDRL Thirimanne,HDRL Thirimanne3,AD Mathews,AD Mathews4,MD Gunathilaka,MD Gunathilaka5,TAM Siriwardana,TAM Siriwardana6,GSNFG Jayasuriya,GSNFG Jayasuriya7,SMSM Senanayake,SMSM Senanayake8,BAW Mendis,BAW Mendis9,SL Malinga,SL Malinga10,RAS Lakmal,RAS Lakmal11
won,MDKJ Perera,MDKJ Perera1,TM Dilshan,TM Dilshan2,HDRL Thirimanne,HDRL Thirimanne3,LD Chandimal,LD Chandimal4,AD Mathews,AD Mathews5,TAM Siriwardana,TAM Siriwardana6,GSNFG Jayasuriya,GSNFG Jayasuriya7,SMSM Senanayake,SMSM Senanayake8,BAW Mendis,BAW Mendis9,SL Malinga,SL Malinga10,RAS Lakmal,RAS Lakmal11
won,MDKJ Perera,MDKJ Perera1,TM Dilshan,TM Dilshan2,HDRL Thirimanne,HDRL Thirimanne3,LD Chandimal,LD Chandimal4,AD Mathews,AD Mathews5,TAM Siriwardana,TAM Siriwardana6,GSNFG Jayasuriya,GSNFG Jayasuriya7,SMSM Senanayake,SMSM Senanayake8,BAW Mendis,BAW Mendis9,SL Malinga,SL Malinga10,RAS Lakmal,RAS Lakmal11
lost,MD Gunathilaka,MD Gunathilaka1,TM Dilshan,TM Dilshan2,HDRL Thirimanne,HDRL Thirimanne3,LD Chandimal,LD Chandimal4,AD Mathews,AD Mathews5,TAM Siriwardana,TAM Siriwardana6,CK Kapugedera,CK Kapugedera7,KMDN Kulasekara,KMDN Kulasekara8,BAW Mendis,BAW Mendis9,PVD Chameera,PVD Chameera10,RAS Lakmal,RAS Lakmal11
lost,MD Gunathilaka,MD Gunathilaka1,TM Dilshan,TM Dilshan2,HDRL Thirimanne,HDRL Thirimanne3,LD Chandimal,LD Chandimal4,AD Mathews,AD Mathews5,TAM Siriwardana,TAM Siriwardana6,CK Kapugedera,CK Kapugedera7,KMDN Kulasekara,KMDN Kulasekara8,SMSM Senanayake,SMSM Senanayake9,PVD Chameera,PVD Chameera10,JDF Vandersay,JDF Vandersay11
won,MD Gunathilaka,MD Gunathilaka1,TM Dilshan,TM Dilshan2,HDRL Thirimanne,HDRL Thirimanne3,LD Chandimal,LD Chandimal4,AD Mathews,AD Mathews5,TAM Siriwardana,TAM Siriwardana6,CK Kapugedera,CK Kapugedera7,KMDN Kulasekara,KMDN Kulasekara8,PVD Chameera,PVD Chameera9,N Pradeep,N Pradeep10,JDF Vandersay,JDF Vandersay11
lost,MD Gunathilaka,MD Gunathilaka1,TM Dilshan,TM Dilshan2,HDRL Thirimanne,HDRL Thirimanne3,LD Chandimal,LD Chandimal4,AD Mathews,AD Mathews5,NLTC Perera,NLTC Perera6,TAM Siriwardana,TAM Siriwardana7,CK Kapugedera,CK Kapugedera8,KMDN Kulasekara,KMDN Kulasekara9,PVD Chameera,PVD Chameera10,N Pradeep,N Pradeep11
