Day_Night,Result,Home,Bat,Toss,Opposition,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
D,won,1,1,won,v Australia,DG Brownlie,TWM Latham,KS Williamson,LRPL Taylor,NT Broom,C Munro,JDS Neesham,MJ Santner,TG Southee,LH Ferguson,TA Boult
DN,lost,1,1,lost,v South Africa,DG Brownlie,TWM Latham,KS Williamson,LRPL Taylor,NT Broom,JDS Neesham,MJ Santner,C de Grandhomme,TG Southee,IS Sodhi,TA Boult
D,won,1,1,lost,v South Africa,DG Brownlie,TWM Latham,KS Williamson,LRPL Taylor,NT Broom,JDS Neesham,MJ Santner,C de Grandhomme,IS Sodhi,TG Southee,TA Boult
DN,lost,1,2,lost,v South Africa,DG Brownlie,TWM Latham,KS Williamson,LRPL Taylor,NT Broom,JDS Neesham,MJ Santner,C de Grandhomme,TG Southee,LH Ferguson,TA Boult
DN,won,1,2,lost,v South Africa,MJ Guptill,DG Brownlie,KS Williamson,LRPL Taylor,L Ronchi,JDS Neesham,MJ Santner,C de Grandhomme,TG Southee,JS Patel,TA Boult
DN,lost,1,1,lost,v South Africa,MJ Guptill,DG Brownlie,KS Williamson,LRPL Taylor,L Ronchi,JDS Neesham,MJ Santner,C de Grandhomme,TG Southee,JS Patel,TA Boult
D,won,0,1,lost,v Ireland,L Ronchi,TWM Latham,GH Worker,LRPL Taylor,NT Broom,JDS Neesham,C Munro,SC Kuggeleijn,MJ Santner,SHA Rance,IS Sodhi
D,won,0,2,won,v Bangladesh,TWM Latham,L Ronchi,GH Worker,LRPL Taylor,NT Broom,JDS Neesham,C Munro,MJ Santner,SHA Rance,IS Sodhi,HK Bennett
D,won,0,1,lost,v Ireland,L Ronchi,TWM Latham,NT Broom,LRPL Taylor,CJ Anderson,MJ Santner,C Munro,AF Milne,SC Kuggeleijn,IS Sodhi,MJ Henry
D,lost,0,1,lost,v Bangladesh,TWM Latham,L Ronchi,NT Broom,LRPL Taylor,CJ Anderson,JDS Neesham,MJ Santner,C Munro,MJ Henry,JS Patel,HK Bennett
