Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
won,KS Williamson,KS Williamson1,MJ Guptill,MJ Guptill2,GD Elliott,GD Elliott3,TWM Latham,TWM Latham4,HM Nicholls,HM Nicholls5,L Ronchi,L Ronchi6,MJ Henry,MJ Henry7,MJ McClenaghan,MJ McClenaghan8,TA Boult,TA Boult9,MJ Santner,MJ Santner10,CJ Anderson,CJ Anderson11
won,KS Williamson,KS Williamson1,MJ Guptill,MJ Guptill2,GD Elliott,GD Elliott3,BB McCullum,BB McCullum4,HM Nicholls,HM Nicholls5,L Ronchi,L Ronchi6,MJ Henry,MJ Henry7,AF Milne,AF Milne8,TA Boult,TA Boult9,MJ Santner,MJ Santner10,CJ Anderson,CJ Anderson11
won,KS Williamson,KS Williamson1,MJ Guptill,MJ Guptill2,GD Elliott,GD Elliott3,BB McCullum,BB McCullum4,HM Nicholls,HM Nicholls5,L Ronchi,L Ronchi6,MJ Henry,MJ Henry7,AF Milne,AF Milne8,TA Boult,TA Boult9,MJ Santner,MJ Santner10,CJ Anderson,CJ Anderson11
lost,KS Williamson,KS Williamson1,MJ Guptill,MJ Guptill2,GD Elliott,GD Elliott3,BB McCullum,BB McCullum4,HM Nicholls,HM Nicholls5,L Ronchi,L Ronchi6,MJ Henry,MJ Henry7,AF Milne,AF Milne8,TA Boult,TA Boult9,MJ Santner,MJ Santner10,CJ Anderson,CJ Anderson11
won,KS Williamson,KS Williamson1,MJ Guptill,MJ Guptill2,GD Elliott,GD Elliott3,BB McCullum,BB McCullum4,HM Nicholls,HM Nicholls5,L Ronchi,L Ronchi6,MJ Henry,MJ Henry7,AF Milne,AF Milne8,DAJ Bracewell,DAJ Bracewell9,IS Sodhi,IS Sodhi10,CJ Anderson,CJ Anderson11
lost,KS Williamson,KS Williamson1,MJ Guptill,MJ Guptill2,LRPL Taylor,LRPL Taylor3,TWM Latham,TWM Latham4,JDS Neesham,JDS Neesham5,L Ronchi,L Ronchi6,MJ Santner,MJ Santner7,TG Southee,TG Southee8,DAJ Bracewell,DAJ Bracewell9,IS Sodhi,IS Sodhi10,CJ Anderson,CJ Anderson11
won,KS Williamson,KS Williamson1,MJ Guptill,MJ Guptill2,LRPL Taylor,LRPL Taylor3,TWM Latham,TWM Latham4,AP Devcich,AP Devcich5,L Ronchi,L Ronchi6,MJ Santner,MJ Santner7,TG Southee,TG Southee8,MJ Henry,MJ Henry9,TA Boult,TA Boult10,CJ Anderson,CJ Anderson11
lost,KS Williamson,KS Williamson1,MJ Guptill,MJ Guptill2,LRPL Taylor,LRPL Taylor3,TWM Latham,TWM Latham4,JDS Neesham,JDS Neesham5,L Ronchi,L Ronchi6,MJ Santner,MJ Santner7,TG Southee,TG Southee8,MJ Henry,MJ Henry9,TA Boult,TA Boult10,CJ Anderson,CJ Anderson11
won,KS Williamson,KS Williamson1,MJ Guptill,MJ Guptill2,LRPL Taylor,LRPL Taylor3,TWM Latham,TWM Latham4,JDS Neesham,JDS Neesham5,BJ Watling,BJ Watling6,MJ Santner,MJ Santner7,TG Southee,TG Southee8,IS Sodhi,IS Sodhi9,TA Boult,TA Boult10,AP Devcich,AP Devcich11
lost,KS Williamson,KS Williamson1,MJ Guptill,MJ Guptill2,LRPL Taylor,LRPL Taylor3,TWM Latham,TWM Latham4,JDS Neesham,JDS Neesham5,BJ Watling,BJ Watling6,MJ Santner,MJ Santner7,TG Southee,TG Southee8,IS Sodhi,IS Sodhi9,TA Boult,TA Boult10,CJ Anderson,CJ Anderson11
