Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
won,MJ Guptill,MJ Guptill1,HM Nicholls,HM Nicholls2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,JDS Neesham,JDS Neesham6,MJ Santner,MJ Santner7,C de Grandhomme,C de Grandhomme8,TD Astle,TD Astle9,MJ Henry,MJ Henry10,TA Boult,TA Boult11
lost,C Munro,C Munro1,HM Nicholls,HM Nicholls2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,JDS Neesham,JDS Neesham6,C de Grandhomme,C de Grandhomme7,MJ Santner,MJ Santner8,TD Astle,TD Astle9,MJ Henry,MJ Henry10,TA Boult,TA Boult11
won,MJ Guptill,MJ Guptill1,HM Nicholls,HM Nicholls2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,C de Grandhomme,C de Grandhomme6,JDS Neesham,JDS Neesham7,MJ Santner,MJ Santner8,MJ Henry,MJ Henry9,LH Ferguson,LH Ferguson10,TA Boult,TA Boult11
won,MJ Guptill,MJ Guptill1,HM Nicholls,HM Nicholls2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,C de Grandhomme,C de Grandhomme6,JDS Neesham,JDS Neesham7,MJ Henry,MJ Henry8,TD Astle,TD Astle9,LH Ferguson,LH Ferguson10,TA Boult,TA Boult11
won,MJ Guptill,MJ Guptill1,C Munro,C Munro2,HM Nicholls,HM Nicholls3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,JDS Neesham,JDS Neesham6,C de Grandhomme,C de Grandhomme7,MJ Santner,MJ Santner8,TG Southee,TG Southee9,LH Ferguson,LH Ferguson10,TA Boult,TA Boult11
won,MJ Guptill,MJ Guptill1,C Munro,C Munro2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,JDS Neesham,JDS Neesham6,C de Grandhomme,C de Grandhomme7,MJ Santner,MJ Santner8,MJ Henry,MJ Henry9,LH Ferguson,LH Ferguson10,TA Boult,TA Boult11
won,MJ Guptill,MJ Guptill1,C Munro,C Munro2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,JDS Neesham,JDS Neesham6,C de Grandhomme,C de Grandhomme7,MJ Santner,MJ Santner8,MJ Henry,MJ Henry9,LH Ferguson,LH Ferguson10,TA Boult,TA Boult11
won,MJ Guptill,MJ Guptill1,C Munro,C Munro2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,JDS Neesham,JDS Neesham6,C de Grandhomme,C de Grandhomme7,MJ Santner,MJ Santner8,MJ Henry,MJ Henry9,LH Ferguson,LH Ferguson10,TA Boult,TA Boult11
won,MJ Guptill,MJ Guptill1,C Munro,C Munro2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,JDS Neesham,JDS Neesham6,C de Grandhomme,C de Grandhomme7,MJ Santner,MJ Santner8,MJ Henry,MJ Henry9,LH Ferguson,LH Ferguson10,TA Boult,TA Boult11
won,MJ Guptill,MJ Guptill1,C Munro,C Munro2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,JDS Neesham,JDS Neesham6,C de Grandhomme,C de Grandhomme7,MJ Santner,MJ Santner8,MJ Henry,MJ Henry9,LH Ferguson,LH Ferguson10,TA Boult,TA Boult11
