p1,o1,s1,w1,p2,o2,s2,w2,p3,o3,s3,w3,p4,o4,s4,w4,p5,o5,s5,w5,p6,o6,s6,w6,p7,o7,s7,w7,,,
Amir Hamza,10,57,2,Dawlat Zadran,8.5,53,4,Gulbadin Naib,9,54,0,Mohammad Nabi,9,38,0,Rashid Khan,9,48,4,Samiullah Shinwari,1,11,0,-,,,,,,
Amir Hamza,8,60,0,Dawlat Zadran,9,52,3,Mohammad Nabi,9,70,0,Gulbadin Naib,8,52,1,Samiullah Shinwari,4,19,0,Rashid Khan,9.3,43,6,-,,,,,,
Gulbadin Naib,4,23,0,Dawlat Zadran,9.3,52,2,Amir Hamza,10,37,0,Mohammad Nabi,9,64,1,Samiullah Shinwari,6,39,1,Rashid Khan,10,44,0,-,,,,,,
Amir Hamza,10,48,0,Dawlat Zadran,8.5,51,0,Gulbadin Naib,8,28,1,Mohammad Nabi,9,30,4,Rahmat Shah,2,10,0,Rashid Khan,9,50,2,-,,,,,,
Fareed Ahmad,10,65,3,Dawlat Zadran,8.1,33,2,Gulbadin Naib,9,39,1,Mohammad Nabi,10,45,0,Rashid Khan,10,29,4,Samiullah Shinwari,1,9,0,-,,,,,,
Amir Hamza,9,28,0,Dawlat Zadran,8,25,2,Gulbadin Naib,8,31,1,Mohammad Nabi,10,34,0,Samiullah Shinwari,1,11,0,Rashid Khan,8.4,18,7,-,,,,,,
Amir Hamza,7,15,0,Dawlat Zadran,7.2,47,0,Gulbadin Naib,5,15,2,Mohammad Nabi,10,33,1,Rashid Khan,10,1,26,-,,,,-,,,,,,
Dawlat Zadran,6,13,2,Mujeeb Ur Rahman,10,24,4,Gulbadin Naib,3,11,0,Mohammad Nabi,5,14,1,Rashid Khan,6.4,28,3,Javed Ahmadi,1,7,0,-,,,,,,
Mujeeb Ur Rahman,10,50,2,Dawlat Zadran,10,65,2,Gulbadin Naib,10,36,1,Mohammad Nabi,10,61,2,Rashid Khan,10,40,2,-,,,,-,,,,,,
Shapoor Zadran,7,71,0,Mujeeb Ur Rahman,10,42,1,Gulbadin Naib,3,12,0,Mohammad Nabi,9,28,2,Rashid Khan,9,17,2,-,,,,-,,,,,,
Mujeeb Ur Rahman,8,41,2,Dawlat Zadran,5,29,1,Gulbadin Naib,7,40,1,Mohammad Nabi,7,25,1,Rashid Khan,5.4,26,4,Rahmat Shah,2,11,1,-,,,,,,
Mujeeb Ur Rahman,10,47,1,Dawlat Zadran,9,96,0,Gulbadin Naib,8,85,1,Mohammad Nabi,10,33,0,Rashid Khan,10,36,2,Rahmat Shah,3,34,0,-,,,,,,
Mujeeb Ur Rahman,10,45,3,Dawlat Zadran,6,28,1,Gulbadin Naib,6,23,1,Mohammad Nabi,4,28,0,Rashid Khan,8.3,24,5,-,,,,-,,,,,,
Mujeeb Ur Rahman,10,50,5,Dawlat Zadran,7,22,0,Sharafuddin Ashraf,4,15,1,Mohammad Nabi,7,18,2,Rashid Khan,10,28,2,-,,,,-,,,,,,
Mujeeb Ur Rahman,8,28,1,Shapoor Zadran,5,7,1,Sharafuddin Ashraf,7,15,2,Mohammad Nabi,7,26,2,Rashid Khan,5.1,13,3,-,,,,-,,,,,,
Mujeeb Ur Rahman,9,49,3,Dawlat Zadran,7,17,2,Shapoor Zadran,7,25,0,Sharafuddin Ashraf,6,32,0,Mohammad Nabi,6,31,1,Rashid Khan,8,38,3,-,,,,,,
Mujeeb Ur Rahman,10,33,3,Dawlat Zadran,8,44,0,Gulbadin Naib,3,11,0,Mohammad Nabi,10,43,2,Sharafuddin Ashraf,9,31,1,Rashid Khan,10,31,1,-,,,,,,
Mujeeb Ur Rahman,10,31,0,Dawlat Zadran,10,54,2,Gulbadin Naib,5,15,0,Mohammad Nabi,9,48,1,Sharafuddin Ashraf,6,18,0,Rashid Khan,10,40,3,-,,,,,,
Mujeeb Ur Rahman,9.5,43,4,Dawlat Zadran,7,26,1,Gulbadin Naib,5,28,2,Mohammad Nabi,9,37,0,Sharafuddin Ashraf,7,26,1,Rashid Khan,9,42,1,-,,,,,,
Mujeeb Ur Rahman,10,32,1,Aftab Alam,9,34,2,Gulbadin Naib,10,42,1,Mohammad Nabi,10,42,2,Rashid Khan,9.3,41,2,-,,,,-,,,,,,
Mujeeb Ur Rahman,10,41,1,Aftab Alam,8,32,1,Gulbadin Naib,7,28,0,Mohammad Nabi,8.5,38,2,Rashid Khan,10,37,3,-,,,,-,,,,,,
Mujeeb Ur Rahman,7,19,0,Aftab Alam,7,22,2,Gulbadin Naib,5,34,2,Mohammad Nabi,8.1,26,2,Rashid Khan,8,18,3,Asghar Afghan,1,1,1,-,,,,,,
Mujeeb Ur Rahman,9,32,2,Aftab Alam,7,34,0,Gulbadin Naib,8,29,2,Mohammad Nabi,10,30,2,Rashid Khan,7.2,26,2,-,,,,-,,,,,,
Mujeeb Ur Rahman,8.1,22,2,Aftab Alam,5,11,1,Gulbadin Naib,6,30,2,Mohammad Nabi,10,24,1,Samiullah Shinwari,2,12,0,Rashid Khan,9,13,2,Rahmat Shah,2,7,1,,,
Mujeeb Ur Rahman,10,33,2,Aftab Alam,9.3,64,0,Gulbadin Naib,10,61,1,Mohammad Nabi,10,50,0,Rashid Khan,10,46,3,-,,,,-,,,,,,
Mujeeb Ur Rahman,10,35,1,Aftab Alam,9,58,0,Gulbadin Naib,9,58,0,Mohammad Nabi,10,44,0,Rashid Khan,10,46,1,Samiullah Shinwari,1,9,0,-,,,,,,
