Player,Fielders_score
JG Wright (NZ),45.4743028
WU Tharanga (Asia/SL),44.8173964
MN Samuels (WI),44.7743186
Shakib Al Hasan (BDESH),44.764011399999994
AT Carey (AUS),44.754612599999994
JR Murray (WI),44.70552947920792
P Utseya (ZIM),44.65433447920792
SC Williams (ZIM),44.58526147920792
JO Holder (WI),44.5671008
ME Trescothick (ENG),44.0234424
AP Gurusinha (SL),43.90129727920792
Aamer Sohail (PAK),43.76610747920792
KC Wessels (AUS/SA),43.64482087920791
RP Arnold (SL),42.93904807920792
GJ Bailey (AUS),42.716278200000005
AM Rahane (INDIA),42.691692399999994
A Flintoff (ENG/ICC),41.996387799999994
HH Streak (Afr/ZIM),41.204693679207914
KMDN Kulasekara (SL),41.16804139999999
WB Phillips (AUS),41.0370246
PR Stirling (IRE),41.024177599999994
MDKJ Perera (SL),40.5567552
CEL Ambrose (WI),40.3314666
RR Sarwan (WI),40.30205467920792
DC Boon (AUS),40.27389879999999
CG Greenidge (WI),40.194150679207915
GA Gooch (ENG),40.18104999999999
CR Woakes (ENG),40.112552599999994
BA Stokes (ENG),40.1013312
RC Russell (ENG),39.9846354
CMW Read (ENG),39.84801540000001
CD McMillan (NZ),39.45588620000001
DI Gower (ENG),39.26768260000001
NV Knight (ENG),39.240218000000006
Z Khan (Asia/INDIA),38.601804800000004
RL Powell (WI),38.36791907920792
CS Baugh (WI),38.27974787920791
Saeed Anwar (PAK),37.825143
KD Mills (NZ),37.659638400000006
K Srikkanth (INDIA),37.5751792
V Sibanda (Afr/ZIM),37.522498
CR Ervine (ZIM),37.462346
GP Thorpe (ENG),37.42474107920793
BM McMillan (SA),37.418742879207926
N Dickwella (SL),37.2161798
L Vincent (NZ),36.76107667920792
KR Rutherford (NZ),36.6358452
NL McCullum (NZ),36.5334048
JM Bairstow (ENG),36.2478618
DL Murray (WI),35.966588679207916
TE Blain (NZ),35.9245142
Saqlain Mushtaq (PAK),35.861678999999995
RJ Shastri (INDIA),35.8540074
KP Pietersen (ENG/ICC),35.828719799999995
Sikandar Raza (ZIM),35.7147566
N Hussain (ENG),35.686228799999995
JV Coney (NZ),35.67935447920792
