Player,Fielders_score
CD McMillan (NZ),21.359099999999998
SS Karim (INDIA),21.328300000000002
SPD Smith (AUS),21.3245
WTS Porterfield (IRE),21.3009
S Dhawan (INDIA),21.239199999999997
RP Arnold (SL),21.20274
IR Bell (ENG),21.1894
GJ Maxwell (AUS),21.179299999999998
DJ Cullinan (SA),21.08654
KMDN Kulasekara (SL),21.0591
GJ Hopkins (NZ),20.859640000000002
RW Taylor (ENG),20.8429
CEL Ambrose (WI),20.841
AJ Finch (AUS),20.706400000000002
JDP Oram (NZ),20.6871
SL Malinga (SL),20.682000000000002
DC Boon (AUS),20.6143
P Utseya (ZIM),20.61414
GA Hick (ENG),20.6081
PV Simmons (WI),20.6023
RR Sarwan (WI),20.53704
PR Downton (ENG),20.53694
DA Miller (SA),20.53
AP Gurusinha (SL),20.32284
ME Trescothick (ENG),19.9325
Aamer Sohail (PAK),19.906240000000004
KD Mills (NZ),19.8505
KA Pollard (WI),19.8185
AJ Strauss (ENG),19.7351
JG Wright (NZ),19.6636
Ramiz Raja (PAK),19.44724
DA Warner (AUS),19.3144
M Kaif (INDIA),19.3003
GC Dyer (AUS),19.08934
CA Walsh (WI),19.087
R Mutumbami (ZIM),19.072140000000005
A Flintoff (ENG/ICC),19.0176
Imran Khan (PAK),19.0104
Mohammad Nabi (AFG),19.009
Saqlain Mushtaq (PAK),18.9574
MA Taylor (AUS),18.950940000000003
SC Williams (ZIM),18.90074
Mohammad Ashraful (Asia/BDESH),18.6449
LK Germon (NZ),18.51604
L Klusener (SA),18.3796
DC Thomas (WI),18.345239999999997
BKV Prasad (INDIA),18.33484
RA Harper (WI),18.2114
RW Chakabva (ZIM),18.08504
RJ Shastri (INDIA),18.0711
K Srikkanth (INDIA),18.0663
TG Southee (NZ),17.7184
JO Holder (WI),17.6903
CG Greenidge (WI),17.63044
M Ntini (ICC/SA),17.581699999999998
GJ Whittall (ZIM),17.51274
GA Gooch (ENG),17.4754
MG Johnson (AUS),17.4274
KC Wessels (AUS/SA),17.34544
KP Pietersen (ENG/ICC),17.319499999999998
PR Stirling (IRE),17.2041
G Gambhir (INDIA),17.1174
Mohammad Rizwan (PAK),17.085900000000002
TJ Zoehrer (AUS),17.00544
Azhar Mahmood (PAK),16.944699999999997
V Sibanda (Afr/ZIM),16.9395
Abdur Razzak (BDESH),16.9095
AA Donald (SA),16.8911
KR Rutherford (NZ),16.8031
DI Gower (ENG),16.776600000000002
PJ Moor (ZIM),16.429940000000002
HDPK Dharmasena (SL),16.330199999999998
DB Vengsarkar (INDIA),16.2976
CR Woakes (ENG),16.2924
HDRL Thirimanne (SL),16.1814
RL Powell (WI),16.16844
SW Poynter (IRE),16.137140000000002
L Vincent (NZ),16.13324
SS Dighe (INDIA),16.09264
GJ Bailey (AUS),15.9728
RR Singh (INDIA),15.950099999999999
PA Nixon (ENG),15.947700000000001
DL Houghton (ZIM),15.933240000000001
CRD Fernando (Asia/SL),15.901399999999999
Afsar Zazai (AFG),15.846940000000002
HH Dippenaar (Afr/SA),15.83774
Mushtaq Ahmed (PAK),15.7973
NV Knight (ENG),15.792900000000001
D Gough (ENG/ICC),15.7391
Aaqib Javed (PAK),15.71594
SV Carlisle (ZIM),15.71564
V Dahiya (INDIA),15.671240000000001
BA Stokes (ENG),15.668
GB Hogg (AUS),15.6248
AM Rahane (INDIA),15.516000000000002
S Matsikenyeri (ZIM),15.50004
IT Botham (ENG),15.4316
Shoaib Akhtar (Asia/ICC/PAK),15.4191
CR Ervine (ZIM),15.3203
RS Bopara (ENG),15.2641
Sikandar Raza (ZIM),15.18
CS Pandit (INDIA),15.13804
CJ McDermott (AUS),15.042399999999999
Zulqarnain (PAK),14.93414
AJ Lamb (ENG),14.814799999999998
S Viswanath (INDIA),14.7965
DM Bravo (WI),14.745899999999999
M Prabhakar (INDIA),14.728439999999999
M Morkel (Afr/SA),14.702900000000001
GP Wickramasinghe (SL),14.70054
