Innings ID,Start Date,Day_Night,Team,Result,Home,Ground,Bat,Toss,Opposition,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,,,,,
7,16/02/1996,DN,West Indies,won,0,Lal Bahadur Shastri Stadium,2,lost,Zimbabwe,S L Campbell,R B Richardson,B C Lara,S Chanderpaul,K L T Arthurton,R A Harper,C O Browne,O D Gibson,I R Bishop,C E L Ambrose,C A Walsh,,,,,
22,21/02/1996,DN,West Indies,lost,0,Captain Roop Singh Stadium,1,won,India,S L Campbell,R B Richardson,B C Lara,S Chanderpaul,R I C Holder,R A Harper,C O Browne,O D Gibson,I R Bishop,C E L Ambrose,C A Walsh,,,,,
44,29/02/1996,D,West Indies,lost,0,Nehru Stadium (Pune),2,won,Kenya,S L Campbell,R B Richardson,B C Lara,S Chanderpaul,K L T Arthurton,J C Adams,R A Harper,I R Bishop,C E L Ambrose,C A Walsh,C E Cuffy,,,,,
55,4/3/1996,D,West Indies,won,0,Sawai Mansingh Stadium,2,lost,Australia,S L Campbell,C O Browne,B C Lara,R B Richardson,S Chanderpaul,R A Harper,K L T Arthurton,J C Adams,I R Bishop,C E L Ambrose,C A Walsh,,,,,
69,11/3/1996,D,West Indies,won,0,National Stadium (Karachi),1,won,South Africa,S Chanderpaul,C O Browne,B C Lara,R B Richardson,R A Harper,R I C Holder,K L T Arthurton,J C Adams,I R Bishop,C E L Ambrose,C A Walsh,,,,,
76,14/03/1996,DN,West Indies,lost,0,Punjab Cricket Association IS Bindra Stadium,2,lost,Australia,S Chanderpaul,C O Browne,B C Lara,R B Richardson,R A Harper,O D Gibson,J C Adams,K L T Arthurton,I R Bishop,C E L Ambrose,C A Walsh,,,,,
