Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,DJ Willey,DJ Willey8,AU Rashid,AU Rashid9,LE Plunkett,LE Plunkett10,MA Wood,MA Wood11
won,JM Vince,JM Vince1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,DJ Willey,DJ Willey8,LE Plunkett,LE Plunkett9,AU Rashid,AU Rashid10,MA Wood,MA Wood11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,LA Dawson,LA Dawson9,AU Rashid,AU Rashid10,OP Stone,OP Stone11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,TK Curran,TK Curran9,AU Rashid,AU Rashid10,OP Stone,OP Stone11
won,JJ Roy,JJ Roy1,AD Hales,AD Hales2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,TK Curran,TK Curran9,AU Rashid,AU Rashid10,OP Stone,OP Stone11
lost,JJ Roy,JJ Roy1,AD Hales,AD Hales2,JE Root,JE Root3,JC Buttler,JC Buttler4,BA Stokes,BA Stokes5,MM Ali,MM Ali6,SM Curran,SM Curran7,AU Rashid,AU Rashid8,LE Plunkett,LE Plunkett9,TK Curran,TK Curran10,MA Wood,MA Wood11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,LE Plunkett,LE Plunkett9,AU Rashid,AU Rashid10,MA Wood,MA Wood11
lost,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,TK Curran,TK Curran8,AU Rashid,AU Rashid9,LE Plunkett,LE Plunkett10,MA Wood,MA Wood11
won,JM Bairstow,JM Bairstow1,AD Hales,AD Hales2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,JC Buttler,JC Buttler5,BA Stokes,BA Stokes6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,AU Rashid,AU Rashid9,LE Plunkett,LE Plunkett10,MA Wood,MA Wood11
lost,JM Bairstow,JM Bairstow1,AD Hales,AD Hales2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,TK Curran,TK Curran9,AU Rashid,AU Rashid10,MA Wood,MA Wood11
won,JM Vince,JM Vince1,DJ Malan,DJ Malan2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,JL Denly,JL Denly5,BT Foakes,BT Foakes6,DJ Willey,DJ Willey7,TK Curran,TK Curran8,AU Rashid,AU Rashid9,LE Plunkett,LE Plunkett10,JC Archer,JC Archer11
