Innings ID,Start Date,Day_Night,Team,Result,Home,Ground,Bat,Toss,Opposition,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,,,,,
6,16/02/1996,D,United Arab Emirates,lost,0,Rawalpindi Cricket Stadium,2,won,South Africa,Azhar Saeed,G Mylvaganam,Mazhar Hussain,V Mehra,Mohammad Aslam,Arshad Laeeq,J A Samarasekera,Sultan Zarawani,Imtiaz Abbasi,S F Dukanwala,Shehzad Altaf,,,,,
16,18/02/1996,D,United Arab Emirates,lost,0,Arbab Niaz Stadium,1,won,England,Azhar Saeed,G Mylvaganam,Mazhar Hussain,V Mehra,Mohammad Aslam,Arshad Laeeq,Saleem Raza,J A Samarasekera,Sultan Zarawani,S F Dukanwala,Imtiaz Abbasi,,,,,
28,24/02/1996,D,United Arab Emirates,lost,0,Jinnah Stadium (Gujwranwala),1,lost,Pakistan,G Mylvaganam,Saleem Raza,Azhar Saeed,Mazhar Hussain,Mohammad Aslam,Mohammad Ishaq,Arshad Laeeq,J A Samarasekera,S F Dukanwala,Sultan Zarawani,Imtiaz Abbasi,,,,,
40,27/02/1996,D,United Arab Emirates,lost,0,Iqbal Stadium,2,won,New Zealand,Azhar Saeed,Saleem Raza,Mazhar Hussain,V Mehra,Mohammad Ishaq,Mohammad Aslam,S F Dukanwala,Arshad Laeeq,J A Samarasekera,Sultan Zarawani,Imtiaz Abbasi,,,,,
49,1/3/1996,D,United Arab Emirates,won,0,Gaddafi Stadium,2,won,Netherlands,Azhar Saeed,Saleem Raza,Mazhar Hussain,V Mehra,Mohammad Ishaq,J A Samarasekera,S F Dukanwala,Sultan Zarawani,Saeed-Al-Saffar,Imtiaz Abbasi,Shehzad Altaf,,,,,
